Image_Path,Next_Image_Path
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000001 005.jpg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000001 006.jpg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 005.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 005.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 006.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 006.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 007.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 007.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000004 008.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 001.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 002.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 002.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 003.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 003.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 004.jpeg
/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 004.jpeg,/sddata/projects/Cervical_Cancer_Projects/data/IRIS_DR/DOM 000005 005.jpeg
